No.,Symbol,Company Name,Revenue,Stock Price,% Change,Market Cap
326,HRL,Hormel Foods Corporation,11.91B,28.96,4.05%,15.93B
327,ES,Eversource Energy,11.90B,58.83,3.73%,21.58B
328,AA,Alcoa Corporation,11.90B,32.16,-2.09%,8.32B
329,ETR,Entergy Corporation,11.88B,81.17,-0.42%,34.94B
330,AIZ,"Assurant, Inc.",11.88B,202.00,1.55%,10.26B
331,DK,"Delek US Holdings, Inc.",11.85B,14.81,-2.37%,925.82M
332,W,Wayfair Inc.,11.85B,35.17,3.79%,4.46B
333,CCK,"Crown Holdings, Inc.",11.80B,89.33,2.52%,10.38B
334,BALL,Ball Corporation,11.80B,52.13,4.12%,14.74B
335,CAR,"Avis Budget Group, Inc.",11.79B,74.12,-0.25%,2.60B
336,BAH,Booz Allen Hamilton Holding Corporation,11.78B,108.36,6.39%,13.72B
337,ALK,"Alaska Air Group, Inc.",11.74B,62.93,-6.21%,7.75B
338,GXO,"GXO Logistics, Inc.",11.71B,38.00,-0.25%,4.54B
339,AGCO,AGCO Corporation,11.66B,97.44,5.28%,7.27B
340,TAP,Molson Coors Beverage Company,11.63B,59.40,4.97%,12.03B
341,TAP.A,Molson Coors Beverage Company,11.63B,63.77,4.97%,12.05B
342,J,Jacobs Solutions Inc.,11.62B,122.94,0.35%,15.07B
343,DRI,"Darden Restaurants, Inc.",11.58B,193.46,-0.41%,22.66B
344,HII,"Huntington Ingalls Industries, Inc.",11.54B,191.96,1.67%,7.53B
345,IFF,International Flavors & Fragrances Inc.,11.48B,81.70,0.51%,20.89B
346,CHWY,"Chewy, Inc.",11.44B,34.86,-5.36%,14.25B
347,SCCO,Southern Copper Corporation,11.43B,90.73,-2.11%,72.24B
348,TFC,Truist Financial Corporation,11.41B,41.94,-1.72%,54.75B
349,ULTA,"Ulta Beauty, Inc.",11.36B,354.26,0.30%,16.43B
350,CINF,Cincinnati Financial Corporation,11.34B,140.69,-0.58%,22.02B
351,CMG,"Chipotle Mexican Grill, Inc.",11.31B,51.28,-5.85%,69.50B
352,LVS,Las Vegas Sands Corp.,11.30B,44.97,-1.71%,32.19B
353,BTSG,"BrightSpring Health Services, Inc.",11.27B,17.31,0.46%,3.01B
354,ANDE,"The Andersons, Inc.",11.26B,42.51,2.38%,1.44B
355,CZR,"Caesars Entertainment, Inc.",11.25B,28.46,-5.02%,6.03B
356,HSY,The Hershey Company,11.20B,180.14,4.24%,36.46B
357,MPLX,MPLX LP,11.13B,52.48,-0.44%,53.66B
358,MOS,The Mosaic Company,11.12B,24.83,1.54%,7.87B
359,ABNB,"Airbnb, Inc.",11.10B,134.11,-2.62%,83.32B
360,VRTX,Vertex Pharmaceuticals Incorporated,11.02B,487.30,0.64%,125.13B
361,NOW,"ServiceNow, Inc.",10.98B,860.61,-2.89%,177.29B
362,OC,Owens Corning,10.98B,145.76,-1.83%,12.47B
363,AJG,Arthur J. Gallagher & Co.,10.93B,338.52,-4.05%,86.22B
364,KLAC,KLA Corporation,10.85B,692.80,0.45%,92.06B
365,MHK,"Mohawk Industries, Inc.",10.84B,118.90,-1.99%,7.44B
